msg_id,app_protocol,src_port,dst_port,message,timestamp
36,HTTP,80,50009,HTTP/1.1 200 OK,0.445
37,HTTP,50009,80,GET /search?q=mouse HTTP/1.1,0.458
38,HTTP,80,50009,HTTP/1.1 200 OK,0.471
39,HTTP,50010,80,GET /blog HTTP/1.1,0.483
40,HTTP,80,50010,HTTP/1.1 200 OK,0.496
41,HTTP,50010,80,GET /blog/post/1 HTTP/1.1,0.508
42,HTTP,80,50010,HTTP/1.1 200 OK,0.521
43,HTTP,50011,80,POST /comments HTTP/1.1,0.533
44,HTTP,80,50011,HTTP/1.1 201 Created,0.546
45,HTTP,50011,80,GET /comments/latest HTTP/1.1,0.558
46,HTTP,80,50011,HTTP/1.1 200 OK,0.571
47,HTTP,50012,80,GET /profile HTTP/1.1,0.583
48,HTTP,80,50012,HTTP/1.1 200 OK,0.596
49,HTTP,50012,80,POST /profile/update HTTP/1.1,0.608
50,HTTP,80,50012,HTTP/1.1 200 OK,0.621
51,HTTP,50013,80,GET /settings HTTP/1.1,0.633
52,HTTP,80,50013,HTTP/1.1 200 OK,0.646
53,HTTP,50013,80,POST /settings/save HTTP/1.1,0.658
54,HTTP,80,50013,HTTP/1.1 200 OK,0.671
55,HTTP,50014,80,GET /notifications HTTP/1.1,0.683
56,HTTP,80,50014,HTTP/1.1 200 OK,0.696
57,HTTP,50014,80,GET /notifications/unread HTTP/1.1,0.708
58,HTTP,80,50014,HTTP/1.1 200 OK,0.721
59,HTTP,50015,80,GET /messages HTTP/1.1,0.733
60,HTTP,80,50015,HTTP/1.1 200 OK,0.746
61,HTTP,50015,80,POST /messages/send HTTP/1.1,0.758
62,HTTP,80,50015,HTTP/1.1 200 OK,0.771
63,HTTP,50016,80,GET /friends HTTP/1.1,0.783
64,HTTP,80,50016,HTTP/1.1 200 OK,0.796
65,HTTP,50016,80,POST /friends/add HTTP/1.1,0.808
66,HTTP,80,50016,HTTP/1.1 200 OK,0.821
67,HTTP,50017,80,GET /photos HTTP/1.1,0.833
68,HTTP,80,50017,HTTP/1.1 200 OK,0.846
69,HTTP,50017,80,POST /photos/upload HTTP/1.1,0.858
70,HTTP,80,50017,HTTP/1.1 201 Created,0.873
71,HTTP,50018,80,GET /videos HTTP/1.1,0.885
72,HTTP,80,50018,HTTP/1.1 200 OK,0.898
73,HTTP,50018,80,GET /videos/watch/1 HTTP/1.1,0.910
74,HTTP,80,50018,HTTP/1.1 200 OK,0.923
75,HTTP,50019,80,GET /music HTTP/1.1,0.935
76,HTTP,80,50019,HTTP/1.1 200 OK,0.948
77,HTTP,50019,80,GET /music/playlist/1 HTTP/1.1,0.960
78,HTTP,80,50019,HTTP/1.1 200 OK,0.973
79,HTTP,50020,80,GET /downloads HTTP/1.1,0.985
80,HTTP,80,50020,HTTP/1.1 200 OK,0.998
81,HTTP,50020,80,POST /downloads/start HTTP/1.1,1.010
82,HTTP,80,50020,HTTP/1.1 200 OK,1.023
83,HTTP,50021,80,GET /help HTTP/1.1,1.035
84,HTTP,80,50021,HTTP/1.1 200 OK,1.048
85,HTTP,50021,80,GET /help/faq HTTP/1.1,1.060
86,HTTP,80,50021,HTTP/1.1 200 OK,1.073
87,HTTP,50022,80,GET /support HTTP/1.1,1.085
88,HTTP,80,50022,HTTP/1.1 200 OK,1.098
89,HTTP,50022,80,POST /support/ticket HTTP/1.1,1.110
90,HTTP,80,50022,HTTP/1.1 201 Created,1.123
91,HTTP,50023,80,GET /admin HTTP/1.1,1.135
92,HTTP,80,50023,HTTP/1.1 401 Unauthorized,1.148
93,HTTP,50023,80,POST /admin/login HTTP/1.1,1.160
94,HTTP,80,50023,HTTP/1.1 200 OK,1.175
95,HTTP,50024,80,GET /admin/users HTTP/1.1,1.187
96,HTTP,80,50024,HTTP/1.1 200 OK,1.200
97,HTTP,50024,80,GET /admin/users/list HTTP/1.1,1.212
98,HTTP,80,50024,HTTP/1.1 200 OK,1.225
99,HTTP,50025,80,POST /admin/users/create HTTP/1.1,1.237
100,HTTP,80,50025,HTTP/1.1 201 Created,1.250
101,HTTP,50025,80,GET /admin/users/5 HTTP/1.1,1.262
102,HTTP,80,50025,HTTP/1.1 200 OK,1.275
103,HTTP,50026,80,PUT /admin/users/5 HTTP/1.1,1.287
104,HTTP,80,50026,HTTP/1.1 200 OK,1.300
105,HTTP,50026,80,DELETE /admin/users/5 HTTP/1.1,1.312
106,HTTP,80,50026,HTTP/1.1 204 No Content,1.325
107,HTTP,50027,80,GET /api/data HTTP/1.1,1.337
108,HTTP,80,50027,HTTP/1.1 200 OK,1.350
109,HTTP,50027,80,GET /api/stats HTTP/1.1,1.362
110,HTTP,80,50027,HTTP/1.1 200 OK,1.375
111,HTTP,50028,80,POST /api/upload HTTP/1.1,1.387
112,HTTP,80,50028,HTTP/1.1 200 OK,1.402
113,HTTP,50028,80,GET /api/status HTTP/1.1,1.414
114,HTTP,80,50028,HTTP/1.1 200 OK,1.427
115,HTTP,50029,80,GET /docs HTTP/1.1,1.439
116,HTTP,80,50029,HTTP/1.1 200 OK,1.452
117,HTTP,50029,80,GET /docs/api HTTP/1.1,1.464
118,HTTP,80,50029,HTTP/1.1 200 OK,1.477
119,HTTP,50030,80,GET /terms HTTP/1.1,1.489
120,HTTP,80,50030,HTTP/1.1 200 OK,1.502
121,HTTP,50030,80,GET /privacy HTTP/1.1,1.514
122,HTTP,80,50030,HTTP/1.1 200 OK,1.527
123,HTTP,50031,80,GET /careers HTTP/1.1,1.539
124,HTTP,80,50031,HTTP/1.1 200 OK,1.552
125,HTTP,50031,80,POST /careers/apply HTTP/1.1,1.564
126,HTTP,80,50031,HTTP/1.1 201 Created,1.577
127,HTTP,50032,80,GET /news HTTP/1.1,1.589
128,HTTP,80,50032,HTTP/1.1 200 OK,1.602
129,HTTP,50032,80,GET /news/latest HTTP/1.1,1.614
130,HTTP,80,50032,HTTP/1.1 200 OK,1.627
131,HTTP,50033,80,GET /events HTTP/1.1,1.639
132,HTTP,80,50033,HTTP/1.1 200 OK,1.652
133,HTTP,50033,80,GET /events/upcoming HTTP/1.1,1.664
134,HTTP,80,50033,HTTP/1.1 200 OK,1.677
135,HTTP,50034,80,POST /events/register HTTP/1.1,1.689
136,HTTP,80,50034,HTTP/1.1 200 OK,1.702
137,HTTP,50034,80,GET /events/tickets HTTP/1.1,1.714
138,HTTP,80,50034,HTTP/1.1 200 OK,1.727
139,HTTP,50035,80,GET /store HTTP/1.1,1.739
140,HTTP,80,50035,HTTP/1.1 200 OK,1.752
141,HTTP,50035,80,GET /store/categories HTTP/1.1,1.764
142,HTTP,80,50035,HTTP/1.1 200 OK,1.777
143,HTTP,50036,80,GET /store/category/electronics HTTP/1.1,1.789
144,HTTP,80,50036,HTTP/1.1 200 OK,1.802
145,HTTP,50036,80,GET /store/product/laptop-1 HTTP/1.1,1.814
146,HTTP,80,50036,HTTP/1.1 200 OK,1.827
147,HTTP,50037,80,POST /store/cart/add HTTP/1.1,1.839
148,HTTP,80,50037,HTTP/1.1 200 OK,1.852
149,HTTP,50037,80,GET /store/cart/view HTTP/1.1,1.864
150,HTTP,80,50037,HTTP/1.1 200 OK,1.877
151,HTTP,50038,80,POST /store/checkout HTTP/1.1,1.889
152,HTTP,80,50038,HTTP/1.1 200 OK,1.904
153,HTTP,50038,80,GET /store/order/123 HTTP/1.1,1.916
154,HTTP,80,50038,HTTP/1.1 200 OK,1.929
155,HTTP,50039,80,GET /weather HTTP/1.1,1.941
156,HTTP,80,50039,HTTP/1.1 200 OK,1.954
157,HTTP,50039,80,GET /weather/forecast HTTP/1.1,1.966
158,HTTP,80,50039,HTTP/1.1 200 OK,1.979
159,HTTP,50040,80,GET /maps HTTP/1.1,1.991
160,HTTP,80,50040,HTTP/1.1 200 OK,2.004
161,HTTP,50040,80,GET /maps/directions HTTP/1.1,2.016
162,HTTP,80,50040,HTTP/1.1 200 OK,2.029
163,HTTP,50041,80,POST /maps/search HTTP/1.1,2.041
164,HTTP,80,50041,HTTP/1.1 200 OK,2.054
165,HTTP,50041,80,GET /maps/location/1 HTTP/1.1,2.066
166,HTTP,80,50041,HTTP/1.1 200 OK,2.079
167,HTTP,50042,80,GET /calendar HTTP/1.1,2.091
168,HTTP,80,50042,HTTP/1.1 200 OK,2.104
169,HTTP,50042,80,POST /calendar/event HTTP/1.1,2.116
170,HTTP,80,50042,HTTP/1.1 201 Created,2.129
171,HTTP,50043,80,GET /tasks HTTP/1.1,2.141
172,HTTP,80,50043,HTTP/1.1 200 OK,2.154
173,HTTP,50043,80,POST /tasks/create HTTP/1.1,2.166
174,HTTP,80,50043,HTTP/1.1 201 Created,2.179
175,HTTP,50044,80,GET /tasks/list HTTP/1.1,2.191
176,HTTP,80,50044,HTTP/1.1 200 OK,2.204
177,HTTP,50044,80,PUT /tasks/1/complete HTTP/1.1,2.216
178,HTTP,80,50044,HTTP/1.1 200 OK,2.229
179,HTTP,50045,80,GET /notes HTTP/1.1,2.241
180,HTTP,80,50045,HTTP/1.1 200 OK,2.254
181,HTTP,50045,80,POST /notes/create HTTP/1.1,2.266
182,HTTP,80,50045,HTTP/1.1 201 Created,2.279
183,HTTP,50046,80,GET /bookmarks HTTP/1.1,2.291
184,HTTP,80,50046,HTTP/1.1 200 OK,2.304
185,HTTP,50046,80,POST /bookmarks/add HTTP/1.1,2.316
186,HTTP,80,50046,HTTP/1.1 200 OK,2.329
187,HTTP,50047,80,GET /history HTTP/1.1,2.341
188,HTTP,80,50047,HTTP/1.1 200 OK,2.354
189,HTTP,50047,80,DELETE /history/clear HTTP/1.1,2.366
190,HTTP,80,50047,HTTP/1.1 204 No Content,2.379
191,HTTP,50048,80,GET /cookies HTTP/1.1,2.391
192,HTTP,80,50048,HTTP/1.1 200 OK,2.404
193,HTTP,50048,80,DELETE /cookies/clear HTTP/1.1,2.416
194,HTTP,80,50048,HTTP/1.1 204 No Content,2.429
195,HTTP,50049,80,GET /cache HTTP/1.1,2.441
196,HTTP,80,50049,HTTP/1.1 200 OK,2.454
197,HTTP,50049,80,POST /cache/clear HTTP/1.1,2.466
198,HTTP,80,50049,HTTP/1.1 200 OK,2.479
199,HTTP,50050,80,GET /sync HTTP/1.1,2.491
200,HTTP,80,50050,HTTP/1.1 200 OK,2.504
201,HTTP,50050,80,POST /sync/start HTTP/1.1,2.516
202,HTTP,80,50050,HTTP/1.1 200 OK,2.531
203,HTTP,50051,80,GET /backup HTTP/1.1,2.543
204,HTTP,80,50051,HTTP/1.1 200 OK,2.556
205,HTTP,50051,80,POST /backup/create HTTP/1.1,2.568
206,HTTP,80,50051,HTTP/1.1 201 Created,2.581
207,HTTP,50052,80,GET /restore HTTP/1.1,2.593
208,HTTP,80,50052,HTTP/1.1 200 OK,2.606
209,HTTP,50052,80,POST /restore/start HTTP/1.1,2.618
210,HTTP,80,50052,HTTP/1.1 200 OK,2.633
211,HTTP,50053,80,GET /export HTTP/1.1,2.645
212,HTTP,80,50053,HTTP/1.1 200 OK,2.658
213,HTTP,50053,80,POST /export/data HTTP/1.1,2.670
214,HTTP,80,50053,HTTP/1.1 200 OK,2.683
215,HTTP,50054,80,GET /import HTTP/1.1,2.695
216,HTTP,80,50054,HTTP/1.1 200 OK,2.708
217,HTTP,50054,80,POST /import/data HTTP/1.1,2.720
218,HTTP,80,50054,HTTP/1.1 201 Created,2.733
219,HTTP,50055,80,GET /reports HTTP/1.1,2.745
220,HTTP,80,50055,HTTP/1.1 200 OK,2.758
221,HTTP,50055,80,GET /reports/monthly HTTP/1.1,2.770
222,HTTP,80,50055,HTTP/1.1 200 OK,2.783
223,HTTP,50056,80,POST /reports/generate HTTP/1.1,2.795
224,HTTP,80,50056,HTTP/1.1 200 OK,2.810
225,HTTP,50056,80,GET /reports/download/1 HTTP/1.1,2.822
226,HTTP,80,50056,HTTP/1.1 200 OK,2.835
227,HTTP,50057,80,GET /analytics HTTP/1.1,2.847
228,HTTP,80,50057,HTTP/1.1 200 OK,2.860
229,HTTP,50057,80,GET /analytics/dashboard HTTP/1.1,2.872
230,HTTP,80,50057,HTTP/1.1 200 OK,2.885
231,HTTP,50058,80,GET /metrics HTTP/1.1,2.897
232,HTTP,80,50058,HTTP/1.1 200 OK,2.910
233,HTTP,50058,80,GET /metrics/performance HTTP/1.1,2.922
234,HTTP,80,50058,HTTP/1.1 200 OK,2.935
235,HTTP,50059,80,GET /logs HTTP/1.1,2.947
236,HTTP,80,50059,HTTP/1.1 200 OK,2.960
237,HTTP,50059,80,GET /logs/errors HTTP/1.1,2.972
238,HTTP,80,50059,HTTP/1.1 200 OK,2.985
239,HTTP,50060,80,GET /monitoring HTTP/1.1,2.997
240,HTTP,80,50060,HTTP/1.1 200 OK,3.010
241,HTTP,50060,80,GET /monitoring/status HTTP/1.1,3.022
242,HTTP,80,50060,HTTP/1.1 200 OK,3.035
243,HTTP,50061,80,GET /alerts HTTP/1.1,3.047
244,HTTP,80,50061,HTTP/1.1 200 OK,3.060
245,HTTP,50061,80,POST /alerts/create HTTP/1.1,3.072
246,HTTP,80,50061,HTTP/1.1 201 Created,3.085
247,HTTP,50062,80,GET /webhooks HTTP/1.1,3.097
248,HTTP,80,50062,HTTP/1.1 200 OK,3.110
249,HTTP,50062,80,POST /webhooks/register HTTP/1.1,3.122
250,HTTP,80,50062,HTTP/1.1 201 Created,3.135
251,HTTP,50063,80,GET /integrations HTTP/1.1,3.147
252,HTTP,80,50063,HTTP/1.1 200 OK,3.160
253,HTTP,50063,80,POST /integrations/connect HTTP/1.1,3.172
254,HTTP,80,50063,HTTP/1.1 200 OK,3.185
255,HTTP,50064,80,GET /plugins HTTP/1.1,3.197
256,HTTP,80,50064,HTTP/1.1 200 OK,3.210
257,HTTP,50064,80,POST /plugins/install HTTP/1.1,3.222
258,HTTP,80,50064,HTTP/1.1 201 Created,3.235
259,HTTP,50065,80,GET /extensions HTTP/1.1,3.247
260,HTTP,80,50065,HTTP/1.1 200 OK,3.260
261,HTTP,50065,80,POST /extensions/enable HTTP/1.1,3.272
262,HTTP,80,50065,HTTP/1.1 200 OK,3.285
263,HTTP,50066,80,GET /themes HTTP/1.1,3.297
264,HTTP,80,50066,HTTP/1.1 200 OK,3.310
265,HTTP,50066,80,POST /themes/apply HTTP/1.1,3.322
266,HTTP,80,50066,HTTP/1.1 200 OK,3.335
267,HTTP,50067,80,GET /widgets HTTP/1.1,3.347
268,HTTP,80,50067,HTTP/1.1 200 OK,3.360
269,HTTP,50067,80,POST /widgets/add HTTP/1.1,3.372
270,HTTP,80,50067,HTTP/1.1 201 Created,3.385
271,HTTP,50068,80,GET /dashboard HTTP/1.1,3.397
272,HTTP,80,50068,HTTP/1.1 200 OK,3.410
273,HTTP,50068,80,POST /dashboard/customize HTTP/1.1,3.422
274,HTTP,80,50068,HTTP/1.1 200 OK,3.435
275,HTTP,50069,80,GET /workspace HTTP/1.1,3.447
276,HTTP,80,50069,HTTP/1.1 200 OK,3.460
277,HTTP,50069,80,POST /workspace/create HTTP/1.1,3.472
278,HTTP,80,50069,HTTP/1.1 201 Created,3.485
279,HTTP,50070,80,GET /projects HTTP/1.1,3.497
280,HTTP,80,50070,HTTP/1.1 200 OK,3.510
281,HTTP,50070,80,POST /projects/create HTTP/1.1,3.522
282,HTTP,80,50070,HTTP/1.1 201 Created,3.535
283,HTTP,50071,80,GET /projects/1 HTTP/1.1,3.547
284,HTTP,80,50071,HTTP/1.1 200 OK,3.560
285,HTTP,50071,80,PUT /projects/1/update HTTP/1.1,3.572
286,HTTP,80,50071,HTTP/1.1 200 OK,3.585
287,HTTP,50072,80,GET /files HTTP/1.1,3.597
288,HTTP,80,50072,HTTP/1.1 200 OK,3.610
289,HTTP,50072,80,POST /files/upload HTTP/1.1,3.622
290,HTTP,80,50072,HTTP/1.1 201 Created,3.637
291,HTTP,50073,80,GET /files/list HTTP/1.1,3.649
292,HTTP,80,50073,HTTP/1.1 200 OK,3.662
293,HTTP,50073,80,GET /files/download/1 HTTP/1.1,3.674
294,HTTP,80,50073,HTTP/1.1 200 OK,3.687
295,HTTP,50074,80,DELETE /files/1 HTTP/1.1,3.699
296,HTTP,80,50074,HTTP/1.1 204 No Content,3.712
297,HTTP,50074,80,GET /files/list HTTP/1.1,3.724
298,HTTP,80,50074,HTTP/1.1 200 OK,3.737
299,HTTP,50075,80,GET /folders HTTP/1.1,3.749
300,HTTP,80,50075,HTTP/1.1 200 OK,3.762
301,HTTP,50075,80,POST /folders/create HTTP/1.1,3.774
302,HTTP,80,50075,HTTP/1.1 201 Created,3.787
303,HTTP,50076,80,GET /folders/1 HTTP/1.1,3.799
304,HTTP,80,50076,HTTP/1.1 200 OK,3.812
305,HTTP,50076,80,PUT /folders/1/rename HTTP/1.1,3.824
306,HTTP,80,50076,HTTP/1.1 200 OK,3.837
307,HTTP,50077,80,GET /sharing HTTP/1.1,3.849
308,HTTP,80,50077,HTTP/1.1 200 OK,3.862
309,HTTP,50077,80,POST /sharing/create HTTP/1.1,3.874
310,HTTP,80,50077,HTTP/1.1 201 Created,3.887
311,HTTP,50078,80,GET /permissions HTTP/1.1,3.899
312,HTTP,80,50078,HTTP/1.1 200 OK,3.912
313,HTTP,50078,80,POST /permissions/set HTTP/1.1,3.924
314,HTTP,80,50078,HTTP/1.1 200 OK,3.937
315,HTTP,50079,80,GET /roles HTTP/1.1,3.949
316,HTTP,80,50079,HTTP/1.1 200 OK,3.962
317,HTTP,50079,80,POST /roles/create HTTP/1.1,3.974
318,HTTP,80,50079,HTTP/1.1 201 Created,3.987
319,HTTP,50080,80,GET /groups HTTP/1.1,3.999
320,HTTP,80,50080,HTTP/1.1 200 OK,4.012
321,HTTP,50080,80,POST /groups/create HTTP/1.1,4.024
322,HTTP,80,50080,HTTP/1.1 201 Created,4.037
323,HTTP,50081,80,GET /teams HTTP/1.1,4.049
324,HTTP,80,50081,HTTP/1.1 200 OK,4.062
325,HTTP,50081,80,POST /teams/invite HTTP/1.1,4.074
326,HTTP,80,50081,HTTP/1.1 200 OK,4.087
327,HTTP,50082,80,GET /members HTTP/1.1,4.099
328,HTTP,80,50082,HTTP/1.1 200 OK,4.112
329,HTTP,50082,80,POST /members/add HTTP/1.1,4.124
330,HTTP,80,50082,HTTP/1.1 201 Created,4.137
331,HTTP,50083,80,GET /subscriptions HTTP/1.1,4.149
332,HTTP,80,50083,HTTP/1.1 200 OK,4.162
333,HTTP,50083,80,POST /subscriptions/create HTTP/1.1,4.174
334,HTTP,80,50083,HTTP/1.1 201 Created,4.187
335,HTTP,50084,80,GET /billing HTTP/1.1,4.199
336,HTTP,80,50084,HTTP/1.1 200 OK,4.212
337,HTTP,50084,80,GET /billing/invoices HTTP/1.1,4.224
338,HTTP,80,50084,HTTP/1.1 200 OK,4.237
339,HTTP,50085,80,POST /billing/payment HTTP/1.1,4.249
340,HTTP,80,50085,HTTP/1.1 200 OK,4.264
341,HTTP,50085,80,GET /billing/history HTTP/1.1,4.276
342,HTTP,80,50085,HTTP/1.1 200 OK,4.289
343,HTTP,50086,80,GET /transactions HTTP/1.1,4.301
344,HTTP,80,50086,HTTP/1.1 200 OK,4.314
345,HTTP,50086,80,GET /transactions/pending HTTP/1.1,4.326
346,HTTP,80,50086,HTTP/1.1 200 OK,4.339
347,HTTP,50087,80,GET /invoices HTTP/1.1,4.351
348,HTTP,80,50087,HTTP/1.1 200 OK,4.364
349,HTTP,50087,80,POST /invoices/generate HTTP/1.1,4.376
350,HTTP,80,50087,HTTP/1.1 201 Created,4.389
351,HTTP,50088,80,GET /receipts HTTP/1.1,4.401
352,HTTP,80,50088,HTTP/1.1 200 OK,4.414
353,HTTP,50088,80,GET /receipts/download/1 HTTP/1.1,4.426
354,HTTP,80,50088,HTTP/1.1 200 OK,4.439
355,HTTP,50089,80,GET /refunds HTTP/1.1,4.451
356,HTTP,80,50089,HTTP/1.1 200 OK,4.464
357,HTTP,50089,80,POST /refunds/request HTTP/1.1,4.476
358,HTTP,80,50089,HTTP/1.1 201 Created,4.489
359,HTTP,50090,80,GET /credits HTTP/1.1,4.501
360,HTTP,80,50090,HTTP/1.1 200 OK,4.514
361,HTTP,50090,80,POST /credits/apply HTTP/1.1,4.526
362,HTTP,80,50090,HTTP/1.1 200 OK,4.539
363,HTTP,50091,80,GET /discounts HTTP/1.1,4.551
364,HTTP,80,50091,HTTP/1.1 200 OK,4.564
365,HTTP,50091,80,POST /discounts/apply HTTP/1.1,4.576
366,HTTP,80,50091,HTTP/1.1 200 OK,4.589
367,HTTP,50092,80,GET /coupons HTTP/1.1,4.601
368,HTTP,80,50092,HTTP/1.1 200 OK,4.614
369,HTTP,50092,80,POST /coupons/redeem HTTP/1.1,4.626
370,HTTP,80,50092,HTTP/1.1 200 OK,4.639
371,HTTP,50093,80,GET /promotions HTTP/1.1,4.651
372,HTTP,80,50093,HTTP/1.1 200 OK,4.664
373,HTTP,50093,80,GET /promotions/active HTTP/1.1,4.676
374,HTTP,80,50093,HTTP/1.1 200 OK,4.689
375,HTTP,50094,80,GET /offers HTTP/1.1,4.701
376,HTTP,80,50094,HTTP/1.1 200 OK,4.714
377,HTTP,50094,80,POST /offers/accept HTTP/1.1,4.726
378,HTTP,80,50094,HTTP/1.1 200 OK,4.739
379,HTTP,50095,80,GET /deals HTTP/1.1,4.751
380,HTTP,80,50095,HTTP/1.1 200 OK,4.764
381,HTTP,50095,80,GET /deals/today HTTP/1.1,4.776
382,HTTP,80,50095,HTTP/1.1 200 OK,4.789
383,HTTP,50096,80,GET /sales HTTP/1.1,4.801
384,HTTP,80,50096,HTTP/1.1 200 OK,4.814
385,HTTP,50096,80,GET /sales/flash HTTP/1.1,4.826
386,HTTP,80,50096,HTTP/1.1 200 OK,4.839
387,HTTP,50097,80,GET /clearance HTTP/1.1,4.851
388,HTTP,80,50097,HTTP/1.1 200 OK,4.864
389,HTTP,50097,80,GET /clearance/items HTTP/1.1,4.876
390,HTTP,80,50097,HTTP/1.1 200 OK,4.889
391,HTTP,50098,80,GET /wishlist HTTP/1.1,4.901
392,HTTP,80,50098,HTTP/1.1 200 OK,4.914
393,HTTP,50098,80,POST /wishlist/add HTTP/1.1,4.926
394,HTTP,80,50098,HTTP/1.1 200 OK,4.939
395,HTTP,50099,80,GET /favorites HTTP/1.1,4.951
396,HTTP,80,50099,HTTP/1.1 200 OK,4.964
397,HTTP,50099,80,POST /favorites/add HTTP/1.1,4.976
398,HTTP,80,50099,HTTP/1.1 201 Created,4.989
399,HTTP,50100,80,GET /logout HTTP/1.1,5.001
400,HTTP,80,50100,HTTP/1.1 200 OK,5.014

